사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201501,8호선,장지,0,0,2682,2225,8363,14583,23763,13851,32873,41268,19131,27128,13968,18035,14184,18182,15897,21276,18290,20411,18706,18907,22217,19431,27208,19985,37158,22674,45013,28730,26255,27666,19073,17034,16944,14699,17511,13814,5087,8208,753,2681,0,0,0,0,0,0,20151223
201501,8호선,천호,6,0,11039,1137,20905,12509,54706,19649,78308,37762,42085,32762,28288,24252,28064,25534,29459,28607,30980,32060,29072,35141,30711,37102,32939,41452,39750,49336,47827,77437,33131,75934,28760,41901,24279,36334,19410,34093,10381,22398,1930,7496,1,426,0,0,0,0,20151223
201501,9호선,가양,10,0,11860,702,27860,6728,80099,13778,77530,36946,41790,23264,32057,18454,32244,16964,32857,19250,31946,21443,27979,24940,27440,26152,27952,33785,30482,34991,38864,56878,22562,63624,16266,43941,15810,38435,11101,40992,5470,28136,956,9033,1,706,0,0,0,0,20151223
201501,9호선,개화,1,0,2318,225,13231,2637,40722,4226,28468,4564,13108,3084,10526,2178,9089,2508,7487,2412,6588,3529,5745,3853,5238,4932,5992,5785,8679,7482,9309,10785,4101,16995,2309,11177,1937,7498,1195,8651,541,5000,192,1931,0,160,0,0,0,0,20151223
201501,9호선,고속터미널,0,0,2146,1139,5006,11636,15815,16241,19957,27373,15141,27105,15239,26504,19169,28808,22545,30356,25245,32093,27030,33049,30472,34884,33455,34467,37461,36737,39884,41050,36810,34530,32993,20562,28510,17999,21694,14324,7766,8987,983,2484,0,64,0,0,0,0,20151223
201501,9호선,공항시장,0,0,2095,258,4380,1621,9603,2226,11711,4803,6990,3808,5396,3855,5216,3549,5908,4497,5573,4289,5058,5438,5088,5832,5167,7209,5389,7511,6162,11908,3902,11568,3098,8053,2538,7620,2327,7456,1411,5865,254,2017,1,201,0,0,0,0,20151223
201501,9호선,구반포,0,0,327,195,1567,1658,4258,4232,5838,8553,4213,7395,3976,6651,4588,6225,5588,7212,7209,7583,7379,7374,7467,6874,7307,6662,8755,7780,11003,9643,7343,8950,5555,4453,5339,4087,5299,4017,1355,2386,140,642,0,1,0,0,0,0,20151223
201501,9호선,국회의사당,0,0,1577,1239,3065,8678,3704,47089,6209,152917,7436,48214,8593,27460,11657,21217,14922,21839,17941,22208,21625,19835,25742,13881,28066,14812,42038,14469,111291,16722,51355,12313,31709,6212,33347,5149,23285,3930,9205,2755,1730,1001,0,40,0,0,0,0,20151223
201501,9호선,김포공항,10,0,1765,1670,4303,11335,10122,15605,12714,17315,9076,18350,7366,17301,9905,20109,13340,21013,13732,21392,15625,24410,19460,21706,19873,20571,22816,24353,26823,26494,22475,21769,20004,10167,16190,6953,17672,5868,6522,3575,265,1859,1,109,0,0,0,0,20151223
201501,9호선,노들,1,0,2579,178,5389,1792,17005,2685,23375,4988,12968,5569,8863,4432,8290,4344,9461,4781,8678,6047,7164,5838,6807,6737,7171,7385,8037,9333,8096,14509,5262,13953,3679,9824,3708,8733,3186,10118,1359,6113,313,1429,0,60,0,0,0,0,20151223
201501,9호선,노량진,20,1,8165,4135,21783,24282,64029,56380,104422,87536,55378,47170,36646,36281,36741,38017,44004,49936,60829,55977,46510,49040,46143,48433,50468,54416,61548,68306,82818,107998,53659,85637,42034,55133,48243,51887,61323,51662,23238,26686,3157,5131,1,158,0,0,0,0,20151223
201501,9호선,당산,4,0,4810,1188,16067,5380,47124,13356,52112,34043,30861,19745,24655,14777,24467,15552,26498,17004,26797,19891,24067,18779,24359,21331,24555,22632,29938,29048,42312,47184,25502,43841,18752,31127,18062,29948,15816,32614,8199,20397,1649,5615,1,408,0,0,0,0,20151223
201501,9호선,동작,3,1,725,292,1756,1073,5032,1272,6229,3196,3172,3016,2512,2282,3144,1703,3143,1630,2901,1956,2878,2042,3059,1876,3135,1629,3139,1943,3732,2958,2244,2577,1755,1942,1466,1606,1393,1682,705,1201,140,722,0,105,0,0,0,0,20151223
201501,9호선,등촌,0,0,4889,736,13255,3760,40594,7954,43101,19533,23197,15624,18997,12612,19393,12281,20439,13250,19738,16301,18566,16571,18052,19497,18252,21830,19539,23607,22613,37333,13080,40342,10618,25294,9407,22259,8135,23546,4468,15562,1110,5003,1,196,0,0,0,0,20151223
201501,9호선,마곡나루,0,0,1014,174,3614,1760,8863,1142,8693,2190,4398,1597,3433,1189,3340,1353,3238,1446,3082,1976,2603,1989,2522,2529,2586,2873,3617,3963,3256,5008,1710,6424,1166,4735,759,4444,566,5110,326,3601,80,1318,0,66,0,0,0,0,20151223
