사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201803,2호선,잠실새내,56,2,6516,1055,21591,10453,76266,21390,102299,34271,62162,37213,41891,28405,40637,31315,41631,35700,42256,40811,37448,44031,39423,48606,44835,56684,50677,71627,56527,104836,43702,96245,36492,57077,38421,48407,38509,47547,23212,27745,3733,9478,3,156,0,0,0,0,20180403
201803,2호선,종합운동장,15,0,2892,1527,9074,16148,26722,27910,36583,36634,26289,26125,18201,18958,20481,18874,22571,28716,28386,37055,22259,24572,21517,21364,36243,28278,46603,33499,29639,52868,19515,36217,19405,20777,24660,19741,20118,21384,3620,13049,477,3932,2,167,0,0,0,0,20180403
201803,2호선,충정로(경기대입구),25,1,3966,1251,8525,7386,20561,24790,28142,77082,18444,41472,14846,16313,16011,15146,15769,14192,17330,16969,17276,15222,18722,15084,22217,16651,26144,19510,64060,26554,25605,22573,14980,14849,14422,14586,11073,14443,4729,9981,761,3396,1,73,0,0,0,0,20180403
201803,2호선,한양대,3,0,1710,576,3185,6229,6647,20229,9968,89661,7667,83828,9241,66869,12984,24076,18599,37266,20370,27427,26226,22597,35632,16408,51448,15321,61368,20208,48156,26151,26672,14202,22765,8066,28889,7324,18572,7162,9421,5406,1748,1801,4,32,1,1,0,0,20180403
201803,2호선,합정,78,4,10136,4210,20207,20576,54125,39825,65152,104273,44230,82277,34301,50546,35586,47130,39609,52998,44310,63407,44286,59501,48750,61151,56915,68975,75027,83248,120242,122832,84718,108861,68522,57224,79890,44243,82149,39317,44913,28229,7118,9718,6,411,0,0,0,0,20180403
201803,2호선,홍대입구,1927,26,42660,4812,41229,21617,80036,46213,99704,130485,75654,154586,67437,113204,74232,122590,85410,154225,99302,185718,106519,183075,130406,185699,162849,203042,200361,241172,241139,303987,200365,264244,195950,148677,243368,112412,268302,94804,157009,69364,18422,26103,7,2498,1,1,0,0,20180403
201803,3호선,가락시장,25,0,3051,635,8518,5338,27028,11590,30780,33447,21951,16788,18315,11833,18045,12646,17384,13858,18202,14560,17057,16030,17573,17954,19283,19642,21704,23188,32917,29939,17409,27085,12651,17076,11748,15289,9131,15829,3635,9754,489,3088,0,61,0,0,0,0,20180403
201803,3호선,경복궁(정부서울청사),31,0,3033,1716,6473,14215,17517,53010,27062,144945,25880,93530,21094,64763,27348,56889,32760,53436,43877,55954,50908,48416,63512,41398,82173,38380,93944,39400,132382,43883,60002,30921,43265,16263,45384,14629,34235,14183,12796,8494,1844,2533,2,41,0,0,0,0,20180403
201803,3호선,경찰병원,5,0,2660,252,8038,2903,27284,8090,31155,32209,17981,15856,14215,9418,12823,7865,11069,8942,11577,11569,11956,11477,11959,10919,12235,12125,14512,15679,23570,21985,10504,21707,7293,13476,6751,12488,4742,12773,1736,8199,171,2275,0,0,0,0,0,0,20180403
201803,3호선,고속터미널,151,5,7222,4640,9115,41069,34852,56928,60909,86965,66676,115209,70810,102191,84661,121262,101566,117593,116260,120868,122088,130024,137277,138677,153979,139750,174204,148067,179331,166763,161024,122325,171411,71169,127933,52042,85285,40723,32037,20588,3128,4235,0,0,0,0,0,0,20180403
201803,3호선,교대(법원.검찰청),8,0,1141,661,3434,7896,9500,27347,14227,56117,11946,39799,13805,21137,17454,15076,19276,14474,25473,15724,28925,14373,30153,13156,30917,12975,41854,17525,72622,24126,35984,15257,30279,7359,32533,5692,39024,5254,11670,3249,1763,1174,1,2,0,0,0,0,20180403
201803,3호선,구파발,104,5,10556,1906,32543,18565,98269,19531,90879,27918,50117,25762,33617,23606,30112,21359,30309,22393,29650,24423,27086,25751,28979,28878,37510,36618,41618,41312,34800,65256,23510,68149,17696,40846,15668,37519,13462,36183,4445,26064,577,8333,0,505,0,0,0,0,20180403
201803,3호선,금호,48,1,4843,657,11868,2972,31651,5317,45991,8825,29588,7718,18369,7582,16052,7792,14733,9332,14412,11350,12702,12033,11503,14668,12044,17699,13785,22229,14224,31943,9329,28069,6702,19565,5387,17999,4199,17386,1936,10774,314,3031,0,0,0,0,0,0,20180403
201803,3호선,남부터미널(예술의전당),26,0,3137,1443,9300,28256,31873,63810,51464,197497,46742,94754,46379,59442,51957,52500,53375,52182,59103,60553,58219,62778,63138,63530,72682,66637,95981,71752,174083,84626,93089,65328,66041,37147,58585,30926,50163,24635,16900,13530,1938,3600,0,1,0,0,0,0,20180403
201803,3호선,녹번,28,0,8121,1620,19823,14485,59998,8892,70646,18731,40545,13762,24840,9448,22184,9570,21381,11006,19834,12863,17517,13501,16687,16661,20513,23060,25308,27394,22275,40833,11800,43884,7835,27957,6527,26426,4996,25355,2259,16811,267,4608,0,0,0,0,0,0,20180403
201803,3호선,대청,25,0,3513,1469,10437,9658,31822,19980,36677,26660,20686,11402,15093,8277,14978,9305,14322,9609,15647,11344,13947,12395,16611,15253,26170,16401,25452,19294,31489,25856,14946,25753,10678,17225,9261,16164,7309,18494,2632,11148,331,3593,0,0,0,0,0,0,20180403
201803,3호선,대치,9,3,2413,785,13827,7922,33894,21244,33942,28491,22667,21633,16667,15921,16492,14215,18986,18775,19825,23003,17572,19587,20015,22532,21408,31235,30119,35417,30608,34940,23943,29449,16066,17351,21900,17057,40029,17800,4854,11187,639,3903,0,3,0,0,0,0,20180403
201803,3호선,도곡,54,1,1310,293,4509,5141,13758,14357,17657,26605,11980,20554,9446,9449,9439,10125,9500,9612,10779,9913,11244,9154,12331,9168,16136,10008,19221,11268,23684,13948,13289,12842,8485,8235,7789,7707,6103,8510,1980,5300,265,3091,3,593,0,0,0,0,20180403
201803,3호선,독립문,138,5,5450,496,7844,6344,20416,18532,25342,21485,17255,20290,14622,19146,15301,13865,16756,14050,16915,17174,17512,16785,21005,16048,24962,16676,19835,18123,20013,20866,10684,19155,7307,12236,6581,11011,4958,10454,1548,7107,221,3277,1,1084,0,0,0,0,20180403
201803,3호선,동대입구,40,3,1898,1202,3128,10122,6547,18173,9206,82470,8593,41523,9165,42398,12103,38716,15019,26055,20563,26827,22213,22536,26785,18443,31942,18799,41534,21584,57420,23870,32514,13698,27487,7884,32896,7083,17206,6495,5790,4726,785,1528,1,89,0,0,0,0,20180403
201803,3호선,매봉,30,0,1584,545,6461,8552,18603,20807,23583,71516,16221,35881,13546,15210,14267,14578,13536,12980,15507,13427,16939,13213,18624,12996,20785,13857,29295,17231,61092,22083,27535,18705,16938,11071,17999,9986,12094,10893,4300,6660,528,1924,0,130,0,0,0,0,20180403
201803,3호선,무악재,28,3,1925,147,5530,2345,16737,3448,20150,6225,12049,4771,8122,4179,7609,3932,7075,4269,6467,5020,5555,5855,5151,7118,5627,8893,6974,10524,7256,14834,4088,14657,2856,9998,2299,9207,1811,9316,800,6340,93,1878,0,1,0,0,0,0,20180403
201803,3호선,불광,27,3,10769,1444,23038,7852,66389,12467,80021,36087,44823,42332,31635,33169,29791,29274,30856,31390,33927,36924,32559,36189,33395,38204,37344,44827,38533,50715,41880,69856,26214,67507,19534,40657,17786,35827,12970,35000,5670,22430,885,6888,0,0,0,0,0,0,20180403
201803,3호선,수서,93,2,5289,1949,13628,14274,41546,34772,49121,57314,34896,32793,33855,23524,28558,18417,32045,22961,30489,23437,24694,24980,33241,28531,38729,33473,41177,38643,58005,50202,29408,46146,26158,31947,19144,26799,17166,29133,8366,13466,799,5928,1,350,0,0,0,0,20180403
201803,3호선,신사,82,6,6523,1520,9357,21781,16681,44831,24711,119147,21914,138604,21893,79488,28026,59718,34322,61811,42757,67847,49806,65179,60200,59834,70677,61628,88751,65808,149549,91899,115244,68038,78978,30238,86751,20607,79459,18281,33430,15367,4195,5711,2,4,0,0,0,0,20180403
201803,3호선,안국,34,0,2014,2115,3521,21029,7872,113820,11225,128518,12231,89710,14059,71739,25699,72320,36073,62482,45607,58360,53815,54083,61159,43844,80153,37374,103452,33627,148938,34034,69936,18481,50480,9035,50280,7289,31910,7089,10000,4359,1164,1287,1,1,0,0,0,0,20180403
201803,3호선,압구정,46,0,3645,1980,9526,24847,20094,54192,33975,162555,26343,174582,29816,85996,39075,77118,44932,61818,53093,69322,64210,63707,71289,59084,81312,59215,96881,66228,146899,78707,116213,56585,91771,24945,65518,18807,55132,16770,23128,9795,1992,3768,5,432,0,1,0,0,20180403
201803,3호선,약수,113,1,6537,1095,11986,5858,33166,19303,47878,40160,33032,25174,22651,18589,22244,16955,23327,17333,24676,19091,23091,20725,23747,21894,25934,27408,28057,32034,39742,45126,25480,36895,18406,23708,18772,22786,15171,22473,7087,14409,1132,5480,0,730,0,0,0,0,20180403
201803,3호선,양재(서초구청),121,2,6026,2610,16574,38009,43516,106508,55037,278186,41390,146713,39091,74820,44035,66007,51072,58734,61120,66108,64874,58013,73032,54421,87056,57028,123715,72849,224253,95853,124277,75571,82959,43586,82564,37165,64992,35014,23892,20521,2455,6023,0,76,1,0,0,0,20180403
201803,3호선,연신내,201,8,28467,2081,58333,14034,168193,36311,199367,42506,111276,44525,75390,39821,68853,39301,72030,43604,70066,50394,62063,56191,63514,67651,75620,84260,73614,101692,66048,153010,49186,160060,37500,99595,34288,89689,32066,87432,15706,60266,2517,19988,0,19,0,0,0,0,20180403
201803,3호선,오금,19,1,3674,5,8950,2068,31609,6783,37284,16971,19892,7783,12573,6356,10396,5167,10557,6116,10550,7452,8513,7773,8221,9696,10195,11516,11781,15273,16323,22163,7517,21198,5178,14216,4946,13600,4411,15167,1740,9580,149,2804,0,0,0,0,0,0,20180403
201803,3호선,옥수,121,0,3083,875,9752,4491,31056,9513,39348,17999,27032,13564,18691,10104,18560,11944,17420,13388,18518,14991,16573,16288,16324,18956,17779,22097,20107,26433,21009,36910,14737,33280,10100,22894,9359,20567,7016,21753,2903,11778,451,3112,0,0,0,0,0,0,20180403
201803,3호선,을지로3가,14,2,772,1022,1212,8225,2460,32600,4487,81577,8014,43156,10183,22076,11427,18297,12154,15852,14885,17155,17253,14706,18985,14780,20630,13997,30309,13656,65302,15461,38005,9566,20843,4533,19327,3947,14258,3233,7141,2367,1295,662,0,7,2,3,0,0,20180403
201803,3호선,일원,7,0,2136,1086,8517,8276,25515,27258,25252,24694,18327,19835,17346,19085,18845,14548,19045,15726,17273,16561,17623,16415,20531,14438,26685,13901,27870,16724,18392,21447,11799,20868,8997,12933,6204,11941,3951,14138,1088,7358,146,2626,1,29,0,0,0,0,20180403
201803,3호선,잠원,3,1,1595,909,6277,6931,21163,8432,26450,10993,16395,8082,11729,6324,10467,6163,10479,7680,10256,9101,9542,9050,9572,9704,11411,11375,14376,13461,13423,18969,9122,17673,5708,11133,4816,10819,3834,13353,1294,7293,162,2175,0,1,0,0,0,0,20180403
201803,3호선,종로3가,31,0,729,805,1237,5346,1761,13623,2948,51697,4817,53553,7363,36860,9737,29217,11079,28798,13718,28927,15694,28299,20171,26420,20648,22287,26293,22559,46352,24467,45918,15915,21079,6958,22660,5214,15480,4449,6823,3191,779,1074,0,14,1,0,0,0,20180403
201803,3호선,지축,0,0,339,430,1512,2087,5426,1673,5921,1945,3488,1478,2569,1313,2043,1480,2211,1642,2036,1741,1885,1996,2047,2482,2212,3050,2726,3512,1924,5043,871,4774,447,3609,350,2839,131,2192,78,1234,25,95,0,0,0,0,0,0,20180403
201803,3호선,충무로,0,0,0,0,0,0,1,0,2,0,1,0,4,0,1,0,5,0,3,0,7,0,3,0,2,0,6,0,4,0,6,0,2,0,4,0,3,0,1,0,1,0,0,0,0,0,0,0,20180403
201803,3호선,학여울,18,0,627,220,1559,1823,5032,3799,5783,8693,4153,9408,3263,8892,4554,8044,6071,8639,7254,9796,8005,9147,10472,7602,11664,5183,11387,4261,11091,5175,3618,4459,2023,2911,2296,2673,1688,2914,530,1894,68,696,0,0,0,0,0,0,20180403
201803,3호선,홍제,40,3,9830,1567,25934,9299,74257,14602,86618,36285,54225,30669,37312,25450,35380,22433,36515,24683,34801,27386,32267,28859,32980,32900,35906,41344,38783,47338,40023,64863,22059,64111,16766,40335,14354,37586,10738,36574,4847,23609,680,6513,0,0,2,2,0,0,20180403
